OBJECTID,COLDETKEY,ST_AGE,ST_CONTRBCIR1_DESC,ST_INJRY_CLSS_DESC,ST_PARTCPNT_TYPE_DESC,ST_PED_ACT_DESC,ST_PED_WAS_USING_DESC,Incident Date,Report Number,x,y
224770050,386744,22,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/22/2025,EF82506,-122.4057594,47.64863484
224770051,386744,49,None,No Injury,Motor vehicle driver,,,3/22/2025,EF82506,-122.4057594,47.64863484
224770052,386744,20,,No Injury,Motor vehicle passenger,,,3/22/2025,EF82506,-122.4057594,47.64863484
224770053,386744,11,,No Injury,Motor vehicle passenger,,,3/22/2025,EF82506,-122.4057594,47.64863484
224770054,386744,10,,Possible Injury,Motor vehicle passenger,,,3/22/2025,EF82506,-122.4057594,47.64863484
224770055,386559,34,Did not Grant Right of Way to Vehicle,Unknown,Motor vehicle driver,,,4/1/2025,EF79182,-122.3435172,47.65409533
224770056,386559,,None,Unknown,Motor vehicle driver,,,4/1/2025,EF79182,-122.3435172,47.65409533
224770058,386082,27,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/5/2025,EF90234,-122.3586758,47.62572673
224770059,386082,43,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/5/2025,EF90234,-122.3586758,47.62572673
224770064,386333,36,Unknown Distraction,No Injury,Motor vehicle driver,,,2/25/2025,EF70412,-122.3394533,47.56232932
224770065,386333,37,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,2/25/2025,EF70412,-122.3394533,47.56232932
224770072,386149,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/26/2025,EF62328,-122.3633851,47.69786449
224770073,386748,54,Exceeding Reasonable and Safe Speed,No Injury,Motor vehicle driver,,,4/3/2025,EF82512,-122.3846788,47.64845836
224770074,386748,28,None,Serious Injury,Pedestrian,Crossing at Intersection - No Signal,Unmarked Crosswalk,4/3/2025,EF82512,-122.3846788,47.64845836
224770082,385995,25,Unknown Distraction,Possible Injury,Motor vehicle driver,,,5/7/2025,3929141,-122.3567044,47.62719806
224770083,385995,31,Unknown Distraction,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/7/2025,3929141,-122.3567044,47.62719806
224770084,385995,28,,No Injury,Motor vehicle passenger,,,5/7/2025,3929141,-122.3567044,47.62719806
224770085,386367,21,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,2/22/2025,EF72399,-122.325894,47.64562946
224770086,386367,25,None,Possible Injury,Motor vehicle driver,,,2/22/2025,EF72399,-122.325894,47.64562946
224770087,386261,27,Unknown Distraction,No Injury,Motor vehicle driver,,,2/24/2025,EF69025,-122.3141521,47.59921577
224770088,386261,87,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection with Signal,Marked Cross Walk,2/24/2025,EF69025,-122.3141521,47.59921577
224770089,386537,23,None,No Injury,Motor vehicle driver,,,2/26/2025,EF74733,-122.3643146,47.65197502
224770090,386537,20,Did not Grant Right of Way to Vehicle,Possible Injury,Pedestrian,Crossing -  Non Intersection - No Crosswalk,Roadway,2/26/2025,EF74733,-122.3643146,47.65197502
224770097,386445,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/9/2025,EF58310,-122.3146645,47.57189424
224770098,386445,41,None,No Injury,Motor vehicle driver,,,1/9/2025,EF58310,-122.3146645,47.57189424
224770101,386078,18,Disregard Traffic Sign or Signal,No Injury,Motor vehicle driver,,,1/17/2025,EF60305,-122.3362533,47.60470072
224770102,386078,29,None,No Injury,Motor vehicle driver,,,1/17/2025,EF60305,-122.3362533,47.60470072
224770103,386078,20,,No Injury,Motor vehicle passenger,,,1/17/2025,EF60305,-122.3362533,47.60470072
224770104,386078,14,,No Injury,Motor vehicle passenger,,,1/17/2025,EF60305,-122.3362533,47.60470072
224770105,386078,15,,No Injury,Motor vehicle passenger,,,1/17/2025,EF60305,-122.3362533,47.60470072
224770106,386105,42,Improper Turn/Merge,No Injury,Motor vehicle driver,,,2/2/2025,EF61853,-122.3341906,47.57244574
224770112,386804,33,None,No Injury,Motor vehicle driver,,,4/20/2025,EF86966,-122.3208877,47.61991343
224770113,386804,42,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection Against Signal,Marked Cross Walk,4/20/2025,EF86966,-122.3208877,47.61991343
224770116,386235,31,Under the Influence of Alcohol,Unknown,Motor vehicle driver,,,2/14/2025,EF67713,-122.3834013,47.65563644
224770117,386235,39,None,No Injury,Motor vehicle driver,,,2/14/2025,EF67713,-122.3834013,47.65563644
224770122,386484,,Unknown Distraction,Unknown,Motor vehicle driver,,,3/8/2025,EF76754,-122.3193938,47.67499487
224770123,386484,,None,,Motor vehicle driver,,,3/8/2025,EF76754,-122.3193938,47.67499487
224770124,386231,22,Unknown Distraction,No Injury,Motor vehicle driver,,,2/18/2025,EF67667,-122.3337415,47.60279304
224770125,386231,53,None,No Injury,Motor vehicle driver,,,2/18/2025,EF67667,-122.3337415,47.60279304
224770128,386145,21,Following Too Closely,No Injury,Motor vehicle driver,,,2/5/2025,EF63329,-122.3234743,47.64088234
224770129,386145,27,None,No Injury,Motor vehicle driver,,,2/5/2025,EF63329,-122.3234743,47.64088234
224770130,386265,32,,Possible Injury,Motor vehicle passenger,,,2/21/2025,EF69171,-122.3640207,47.66146805
224770131,386265,52,Following Too Closely,No Injury,Motor vehicle driver,,,2/21/2025,EF69171,-122.3640207,47.66146805
224770132,386265,25,None,Possible Injury,Motor vehicle driver,,,2/21/2025,EF69171,-122.3640207,47.66146805
224770133,386265,28,,Possible Injury,Motor vehicle passenger,,,2/21/2025,EF69171,-122.3640207,47.66146805
224770134,386265,21,,Possible Injury,Motor vehicle passenger,,,2/21/2025,EF69171,-122.3640207,47.66146805
224770135,386518,70,None,No Injury,Motor vehicle driver,,,5/13/2025,EF93533,-122.2823597,47.5370497
224770136,386518,24,None,No Injury,Motor vehicle driver,,,5/13/2025,EF93533,-122.2823597,47.5370497
224770137,386518,35,,No Injury,Motor vehicle passenger,,,5/13/2025,EF93533,-122.2823597,47.5370497
224770138,386518,26,,No Injury,Motor vehicle passenger,,,5/13/2025,EF93533,-122.2823597,47.5370497
224770139,386324,36,Disregard Traffic Sign or Signal,No Injury,Motor vehicle driver,,,2/26/2025,EF70343,-122.3119446,47.67578912
224770140,386324,25,None,No Injury,Motor vehicle driver,,,2/26/2025,EF70343,-122.3119446,47.67578912
224770143,386584,37,Unknown Distraction,No Injury,Motor vehicle driver,,,5/16/2025,EF96994,-122.3002763,47.58112404
224770144,386584,32,None,No Injury,Motor vehicle driver,,,5/16/2025,EF96994,-122.3002763,47.58112404
224770145,386451,28,None,Unknown,Motor vehicle driver,,,1/7/2025,EF58633,-122.329603,47.54534257
224770146,386451,,Following Too Closely,Unknown,Motor vehicle driver,,,1/7/2025,EF58633,-122.329603,47.54534257
224770147,386451,32,,Unknown,Motor vehicle passenger,,,1/7/2025,EF58633,-122.329603,47.54534257
224770148,386296,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/12/2025,EF70359,-122.3290694,47.5829423
224770149,386296,,None,,Motor vehicle driver,,,2/12/2025,EF70359,-122.3290694,47.5829423
224770150,386084,51,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/10/2025,EF90479,-122.3348464,47.52278921
224770151,386084,51,None,No Injury,Motor vehicle driver,,,5/10/2025,EF90479,-122.3348464,47.52278921
224770152,386084,53,,No Injury,Motor vehicle passenger,,,5/10/2025,EF90479,-122.3348464,47.52278921
224770153,386084,30,,No Injury,Motor vehicle passenger,,,5/10/2025,EF90479,-122.3348464,47.52278921
224770154,386662,30,Apparently Ill,No Injury,Motor vehicle driver,,,6/1/2025,EF98808,-122.3508725,47.61858984
224770155,386662,50,None,No Injury,Motor vehicle driver,,,6/1/2025,EF98808,-122.3508725,47.61858984
224770160,386446,,Improper Backing,Unknown,Motor vehicle driver,,,5/2/2025,EF93465,-122.3342065,47.59738587
224770161,386446,,None,,Motor vehicle driver,,,5/2/2025,EF93465,-122.3342065,47.59738587
224770164,386612,44,Unknown Distraction,No Injury,Motor vehicle driver,,,3/20/2025,EF79757,-122.305937,47.57192906
224770165,386612,33,None,No Injury,Motor vehicle driver,,,3/20/2025,EF79757,-122.305937,47.57192906
224770166,386612,19,None,Possible Injury,Motor vehicle driver,,,3/20/2025,EF79757,-122.305937,47.57192906
224770167,386612,9,,No Injury,Motor vehicle passenger,,,3/20/2025,EF79757,-122.305937,47.57192906
224770168,386644,74,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/14/2025,EF98284,-122.3154724,47.60805899
224770169,386644,18,None,No Injury,Motor vehicle driver,,,5/14/2025,EF98284,-122.3154724,47.60805899
224770170,386644,,None,,Motor vehicle driver,,,5/14/2025,EF98284,-122.3154724,47.60805899
224770171,386644,18,,No Injury,Motor vehicle passenger,,,5/14/2025,EF98284,-122.3154724,47.60805899
224770172,386560,23,Other Distractions,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/25/2025,EF94729,-122.323254,47.54703018
224770173,386285,17,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/26/2025,EF69777,-122.3284486,47.69591392
224770174,386285,34,None,No Injury,Motor vehicle driver,,,2/26/2025,EF69777,-122.3284486,47.69591392
224770175,386285,4,,No Injury,Motor vehicle passenger,,,2/26/2025,EF69777,-122.3284486,47.69591392
224770176,386285,4,,No Injury,Motor vehicle passenger,,,2/26/2025,EF69777,-122.3284486,47.69591392
224770177,386130,,Improper Turn/Merge,Unknown,Motor vehicle driver,,,1/22/2025,EF62124,-122.3358423,47.61263897
224770178,386130,57,None,Non Serious Injury (Evident Injury),Pedestrian,All Other Actions,Sidewalk,1/22/2025,EF62124,-122.3358423,47.61263897
224770187,386254,39,Exceeding Reasonable and Safe Speed,Possible Injury,Motor vehicle driver,,,2/21/2025,EF68251,-122.3347099,47.53989883
224770188,386254,65,None,Possible Injury,Motor vehicle driver,,,2/21/2025,EF68251,-122.3347099,47.53989883
224770192,386485,19,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/6/2025,EF76992,-122.3163297,47.66644643
224770193,386485,18,None,No Injury,Motor vehicle driver,,,3/6/2025,EF76992,-122.3163297,47.66644643
224770194,386485,21,,No Injury,Motor vehicle passenger,,,3/6/2025,EF76992,-122.3163297,47.66644643
224770197,386336,33,None,No Injury,Motor vehicle driver,,,2/13/2025,EF70435,-122.3696725,47.63776482
224770198,386508,42,Unknown Distraction,No Injury,Motor vehicle driver,,,3/17/2025,EF79004,-122.3473333,47.69917863
224770199,386508,,None,,Motor vehicle driver,,,3/17/2025,EF79004,-122.3473333,47.69917863
224770200,386508,,None,,Motor vehicle driver,,,3/17/2025,EF79004,-122.3473333,47.69917863
224770201,386508,,None,,Motor vehicle driver,,,3/17/2025,EF79004,-122.3473333,47.69917863
224770202,386120,50,None,No Injury,Motor vehicle driver,,,2/1/2025,EF61655,-122.3392,47.61549745
224770203,386120,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/1/2025,EF61655,-122.3392,47.61549745
224770204,386358,65,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/4/2025,EF71488,-122.3208147,47.73403344
224770205,386358,47,None,No Injury,Motor vehicle driver,,,3/4/2025,EF71488,-122.3208147,47.73403344
224770206,386299,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/28/2025,EF70367,-122.2771494,47.54970962
224770207,386299,33,None,No Injury,Motor vehicle driver,,,2/28/2025,EF70367,-122.2771494,47.54970962
224770208,386661,77,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770209,386661,38,None,No Injury,Motor vehicle driver,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770210,386661,25,,No Injury,Motor vehicle passenger,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770211,386661,39,,No Injury,Motor vehicle passenger,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770212,386661,2,,No Injury,Motor vehicle passenger,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770213,386661,51,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,3/7/2025,EF79793,-122.3449817,47.72230756
224770214,386686,30,Exceeding Reasonable and Safe Speed,Non Serious Injury (Evident Injury),Motor vehicle driver,,,4/6/2025,EF80648,-122.3214961,47.68059282
224770221,386448,26,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,1/8/2025,EF58078,-122.3629463,47.5563614
224770222,386448,55,None,No Injury,Motor vehicle driver,,,1/8/2025,EF58078,-122.3629463,47.5563614
224770233,386000,42,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/4/2025,3932531,-122.381471,47.56111314
224770234,386000,28,None,No Injury,Motor vehicle driver,,,5/4/2025,3932531,-122.381471,47.56111314
224770237,386820,32,Following Too Closely,No Injury,Motor vehicle driver,,,5/1/2025,EF89033,-122.313422,47.59833692
224770238,386820,46,None,No Injury,Motor vehicle driver,,,5/1/2025,EF89033,-122.313422,47.59833692
224770246,385997,43,Operating Reckless or Aggressively,Possible Injury,Motor vehicle driver,,,5/7/2025,3930065,-122.3450719,47.7304976
224770247,385997,77,None,No Injury,Motor vehicle driver,,,5/7/2025,3930065,-122.3450719,47.7304976
224770248,385997,76,,Possible Injury,Motor vehicle passenger,,,5/7/2025,3930065,-122.3450719,47.7304976
224770249,386439,21,Improper Turn/Merge,No Injury,Motor vehicle driver,,,3/4/2025,EF74730,-122.3413245,47.60912994
224770250,386439,31,None,No Injury,Motor vehicle driver,,,3/4/2025,EF74730,-122.3413245,47.60912994
224770251,386439,19,,No Injury,Motor vehicle passenger,,,3/4/2025,EF74730,-122.3413245,47.60912994
224770257,386180,41,Improper Turn/Merge,No Injury,Motor vehicle driver,,,1/28/2025,EF65030,-122.3355703,47.5964816
224770258,386180,57,None,No Injury,Motor vehicle driver,,,1/28/2025,EF65030,-122.3355703,47.5964816
224770259,386783,45,Improper Turn/Merge,No Injury,Motor vehicle driver,,,3/18/2025,EF83649,-122.3013696,47.70843138
224770260,386783,19,None,No Injury,Motor vehicle driver,,,3/18/2025,EF83649,-122.3013696,47.70843138
224770263,386497,44,None,Possible Injury,Motor vehicle driver,,,5/18/2025,EF93475,-122.3763555,47.63187004
224770264,386497,52,Following Too Closely,No Injury,Motor vehicle driver,,,5/18/2025,EF93475,-122.3763555,47.63187004
224770265,386568,35,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/15/2025,EF95753,-122.3250505,47.5465527
224770266,386568,22,None,No Injury,Motor vehicle driver,,,5/15/2025,EF95753,-122.3250505,47.5465527
224770267,386435,21,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/4/2025,EF74694,-122.3326682,47.70866019
224770268,386435,37,None,No Injury,Motor vehicle driver,,,3/4/2025,EF74694,-122.3326682,47.70866019
224770269,386435,36,,No Injury,Motor vehicle passenger,,,3/4/2025,EF74694,-122.3326682,47.70866019
224770272,386335,44,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/19/2025,EF70365,-122.2687114,47.5198607
224770273,386335,18,None,No Injury,Motor vehicle driver,,,2/19/2025,EF70365,-122.2687114,47.5198607
224770274,386453,44,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/15/2025,EF74784,-122.3060081,47.73388099
224770275,386453,56,None,Possible Injury,Motor vehicle driver,,,3/15/2025,EF74784,-122.3060081,47.73388099
224770277,386581,73,Unknown Distraction,No Injury,Motor vehicle driver,,,5/19/2025,EF96586,-122.2961455,47.57070468
224770278,386581,48,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection with Signal,Marked Cross Walk,5/19/2025,EF96586,-122.2961455,47.57070468
224770283,385880,30,None,No Injury,Motor vehicle driver,,,4/3/2025,EF88262,-122.3172411,47.59960886
224770284,385880,30,,No Injury,Motor vehicle passenger,,,4/3/2025,EF88262,-122.3172411,47.59960886
224770285,385880,17,Did not Grant Right of Way to Vehicle,Serious Injury,Pedestrian,Crossing -  Non Intersection - No Crosswalk,Roadway,4/3/2025,EF88262,-122.3172411,47.59960886
224770286,386138,57,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,1/27/2025,EF62329,-122.3608137,47.65958476
224770287,386138,,None,,Motor vehicle driver,,,1/27/2025,EF62329,-122.3608137,47.65958476
224770288,386138,,None,,Motor vehicle driver,,,1/27/2025,EF62329,-122.3608137,47.65958476
224770293,386530,41,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/19/2025,EF94001,-122.3282756,47.66136546
224770294,386530,36,None,No Injury,Motor vehicle driver,,,5/19/2025,EF94001,-122.3282756,47.66136546
224770295,386530,41,,No Injury,Motor vehicle passenger,,,5/19/2025,EF94001,-122.3282756,47.66136546
224770296,386530,31,,No Injury,Motor vehicle passenger,,,5/19/2025,EF94001,-122.3282756,47.66136546
224770297,386307,,Unknown Distraction,Unknown,Motor vehicle driver,,,2/13/2025,EF70397,-122.3765246,47.54195672
224770298,386307,,,,Motor vehicle driver,,,2/13/2025,EF70397,-122.3765246,47.54195672
224770299,386307,,,,Motor vehicle driver,,,2/13/2025,EF70397,-122.3765246,47.54195672
224770300,386289,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/25/2025,EF69780,-122.291017,47.67760477
224770301,386289,,None,,Motor vehicle driver,,,2/25/2025,EF69780,-122.291017,47.67760477
224770302,386615,28,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/25/2025,EF79759,-122.2700396,47.51685682
224770303,386615,34,None,No Injury,Motor vehicle driver,,,3/25/2025,EF79759,-122.2700396,47.51685682
224770304,386247,,Unknown Distraction,,Motor vehicle driver,,,1/27/2025,EF61134,-122.3776614,47.69899022
224770305,386247,44,None,No Injury,Motor vehicle driver,,,1/27/2025,EF61134,-122.3776614,47.69899022
224770308,386527,26,Distractions Outiside Vehicle,Possible Injury,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770309,386527,28,None,Possible Injury,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770310,386527,33,None,No Injury,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770311,386527,48,None,No Injury,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770312,386527,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770313,386527,18,Distractions Outiside Vehicle,Possible Injury,Motor vehicle driver,,,5/15/2025,EF93944,-122.3473092,47.64717817
224770314,386165,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/6/2025,EF64732,-122.3224617,47.60170916
224770315,386165,,None,,Motor vehicle driver,,,2/6/2025,EF64732,-122.3224617,47.60170916
224770316,386362,26,None,No Injury,Motor vehicle driver,,,2/27/2025,EF71761,-122.3560714,47.62458629
224770317,386362,33,Other/Contributing Circ. Not Listed,Possible Injury,Pedal cycle driver,All Other Actions,Sidewalk,2/27/2025,EF71761,-122.3560714,47.62458629
224770318,385895,38,None,No Injury,Motor vehicle driver,,,4/15/2025,EF88806,-122.29292,47.57148096
224770319,385895,43,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing -  Non Intersection - No Crosswalk,Roadway,4/15/2025,EF88806,-122.29292,47.57148096
224770320,386824,34,None,No Injury,Motor vehicle driver,,,4/11/2025,EF89291,-122.3339525,47.70549562
224770321,386824,31,Non motorist on Wrong Side OF Road,Non Serious Injury (Evident Injury),Pedal cycle driver,Riding Against Traffic,Designated Bike Route,4/11/2025,EF89291,-122.3339525,47.70549562
224770322,386676,,Improper Turn/Merge,Unknown,Motor vehicle driver,,,5/17/2025,EF99180,-122.2681737,47.52330826
224770323,386676,29,Improper U-Turn,No Injury,Motor vehicle driver,,,5/17/2025,EF99180,-122.2681737,47.52330826
224770324,386316,,Unknown Distraction,Unknown,Motor vehicle driver,,,1/30/2025,EF70335,-122.3055196,47.66722842
224770325,386316,,None,,Motor vehicle driver,,,1/30/2025,EF70335,-122.3055196,47.66722842
224770328,386720,,Did not Grant Right of Way to Vehicle,,Motor vehicle driver,,,5/30/2025,EF99193,-122.3290617,47.59539265
224770329,386720,23,None,No Injury,Motor vehicle driver,,,5/30/2025,EF99193,-122.3290617,47.59539265
224770330,386720,29,,No Injury,Motor vehicle passenger,,,5/30/2025,EF99193,-122.3290617,47.59539265
224770331,386104,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/26/2025,EF60853,-122.3348071,47.54919627
224770332,386104,24,None,No Injury,Motor vehicle driver,,,1/26/2025,EF60853,-122.3348071,47.54919627
224770333,386104,23,,No Injury,Motor vehicle passenger,,,1/26/2025,EF60853,-122.3348071,47.54919627
224770334,386104,24,,No Injury,Motor vehicle passenger,,,1/26/2025,EF60853,-122.3348071,47.54919627
224770335,386490,33,Improper Turn/Merge,No Injury,Motor vehicle driver,,,3/24/2025,EF77545,-122.3321475,47.53415344
224770336,386490,31,None,No Injury,Motor vehicle driver,,,3/24/2025,EF77545,-122.3321475,47.53415344
224770337,386363,26,Following Too Closely,No Injury,Motor vehicle driver,,,1/6/2025,EF71830,-122.3058422,47.58841628
224770338,386363,49,None,No Injury,Motor vehicle driver,,,1/6/2025,EF71830,-122.3058422,47.58841628
224770339,386495,,Other/Contributing Circ. Not Listed,,Motor vehicle driver,,,3/8/2025,EF75152,-122.3292943,47.59031354
224770340,386495,,,Unknown,Motor vehicle passenger,,,3/8/2025,EF75152,-122.3292943,47.59031354
224770341,386298,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/22/2025,EF70127,-122.2864046,47.66418756
224770342,386515,,Unknown Distraction,Unknown,Motor vehicle driver,,,5/19/2025,EF93499,-122.3767155,47.69279203
224770343,386515,,None,,Motor vehicle driver,,,5/19/2025,EF93499,-122.3767155,47.69279203
224770344,386520,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,3/14/2025,EF79006,-122.3576748,47.65356227
224770345,386520,,None,,Motor vehicle driver,,,3/14/2025,EF79006,-122.3576748,47.65356227
224770346,386520,,None,,Motor vehicle driver,,,3/14/2025,EF79006,-122.3576748,47.65356227
224770347,386520,,None,,Motor vehicle driver,,,3/14/2025,EF79006,-122.3576748,47.65356227
224770350,386181,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/4/2025,EF65031,-122.3119136,47.66748845
224770351,386181,24,None,No Injury,Motor vehicle driver,,,2/4/2025,EF65031,-122.3119136,47.66748845
224770352,386260,,Other/Contributing Circ. Not Listed,,Motor vehicle driver,,,2/15/2025,EF69023,-122.3208877,47.61991343
224770353,386260,26,None,No Injury,Motor vehicle driver,,,2/15/2025,EF69023,-122.3208877,47.61991343
224770364,386074,33,Disregard Traffic Sign or Signal,No Injury,Motor vehicle driver,,,1/27/2025,EF60036,-122.3342908,47.73414219
224770365,386074,44,None,No Injury,Motor vehicle driver,,,1/27/2025,EF60036,-122.3342908,47.73414219
224770374,386310,27,Exceeding Reasonable and Safe Speed,No Injury,Motor vehicle driver,,,2/24/2025,EF70409,-122.333846,47.54737682
